admin , 2024-11-05 8:07 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 8:24 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 8:26 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 8:28 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
admin , 2024-11-05 10:11 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 10:15 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 10:20 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 10:22 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 11:18 am, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
tallerleo , 2024-11-05 1:09 pm, 127.0.0.1 , Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0 
